repo_slug	default_branch	commits_count	first_commit_iso	last_commit_iso	contributors_count	size_on_disk_mb	lines_of_code
ChangeMakerGroupEdition_Sunshine	main	57	2021-09-23T22:07:01+08:00	2022-03-31T20:18:25+08:00	6	17	3807
dengrenhao_3D_ISS_Tracker	main	150	2022-09-30T09:20:37+08:00	2022-12-16T10:49:22+08:00	9	40	13054
GaelleMG_starflock_firexaq	main	14	2022-10-02T14:28:58-04:00	2022-10-26T01:12:21-04:00	2	118	14427
HSSBoston_earth-wind-and-flare	main	52	2022-10-02T12:48:27-04:00	2023-11-14T09:17:10-05:00	1	42	2519
HSSBoston_jimmy-in-the-box	main	89	2021-10-03T11:23:20-04:00	2023-06-26T10:28:17-04:00	1	315	119637
Laurence-Cullen_Asteroids	main	77	2021-10-02T10:27:52+01:00	2021-10-04T00:16:07+01:00	4	60	37300
LLuisPP_NASA_MoonquakeApp	main	3	2023-10-10T21:36:06+02:00	2024-07-28T12:56:15+02:00	3	60	237724
lucianosantiviago_MIMBI_eng	main	1	2022-10-02T16:52:12-03:00	2022-10-02T16:52:12-03:00	1	40	11400
OceanGardens_oceangardens.github.io	main	181	2023-09-27T22:24:46-03:00	2023-10-08T23:58:26-03:00	18	664	5078554
rociopey_landslidedetectionsquad	main	22	2021-10-02T19:11:29+08:00	2021-10-03T20:30:19+08:00	4	74	107127
samirimtiaz1996_NASAInternationalSpaceAppsChallenge2021Khulna_Mohakash_Virtual-Planetary-Exploration-v2.0	main	14	2021-10-02T12:10:49+06:00	2021-10-02T22:55:16+06:00	2	5032	22059334
s-antoniou_nsac-space-travelers	main	3	2021-10-03T23:40:26+03:00	2021-10-03T23:58:53+03:00	1	5	6450
TsungTang_debugger	main	43	2021-09-23T15:26:32+08:00	2022-06-16T22:35:15+08:00	2	43	98875
